id,text,category
TA_HL101,@Asha Apo neenga atha government ku theriya paduthaliya,NOT
TA_HL102,"@Bala sundar ayyo sorry...antha line ah explain pannama vittutu irukan[:drowsy]ok na solran( en appavum indha award function ku vanthurukkaru,neenga en appava paakala pola....en appavukku munnadiye ipdi enna insult panra maathri kevi kettu asinga paduthur",NOT
TA_HL105,@kalimuthu ne ena lusa...yaaru edhu panaalum en da religion ah ilukreenga...manishana paaru da modhalla...,NOT
TA_HL109,1st baby ku neat ah feed panunga plzz ipdi irundha epdi sapdum baby udambu full ah agitu plzz don't force tooo by doing this type of method [,NOT
TA_HL113,"2012 il vazhgiromnu iruku ithula, apdina?",NOT
TA_HL118,30 varusa kadan. 25 age engayo idikuthe,NOT
TA_HL124,a vanitha veliya po ethuku thirumpi vantha,NOT
TA_HL125,"à®•à¯à®´à®¨à¯à®¤à¯ˆ ga taste ah saptanum nu ninappanga nenga eappo pathalum paal satham, paruppu, neai, nu thantha avanga saptave pidikkathu nenga mathi mathi tharanum",NOT
TA_HL127,Aaiiii Jolly Yellam onnah polam onnah polam oannaaa polam Update App to view,NOT
TA_HL128,"aaluku etha mathri pesarathu,thurumbi vanthu prblm panathe netha,ipa losliya nalavanu engaluku solra",NOT
TA_HL130,Aarya enna paakkhuraruna sangeethava yena...... [,NOT
TA_HL132,"abi a mugen ta flirt pana sonathe madhu, vanitha thn. ipo boys use panrangalam.",NOT
TA_HL135,achacho yennanga yellarum vazha aasa illanu solranga... enaku innum marriage kuda aagalanga... neraya kanavu kandu vachirukanga... adhanala idhu madhere la nadaka kudadhunga.... na romba pavamga,NOT
TA_HL136,Achchoo paavam pothum vitturunga pa list perusa poguthu[,NOT
TA_HL137,acho nijama v2 la thumghittu irunthangha sirichittan sattham pottu yallarum ena achi nu kemkurgha,NOT
TA_HL143,Ada key illana ethachu irumbu etuthu kuduga,NOT
TA_HL145,ada paavigala last ah surya than kedachara ungaluku[,NOT
TA_HL146,Ada paavingala naa 1991 kids da. Ipo thaanda enaku marriage ku ponu pakaranga [,NOT
TA_HL149,ada pavam ya vedu ga ya vaya thavara alla idathulium soru iruku,NOT
TA_HL150,Ada pavingala ennada eppudi pannuriga antha payain romba pavam ava summa vidakoodathu,NOT
TA_HL151,ada ponga pa 10 varushama idha thaan solranga,NOT
TA_HL152,ada pongapa namma indiavukulla varathunu sonnenga vanthichu namma oorukulla varathunu sonnenga vathichu ithila ithu vearaiya,NOT
TA_HL158,Adapavingla... Ithu ennada suryaku vandha sothanai.... Update App to view,NOT
TA_HL159,adapongapaa ..2012 or 2013 la ye aliyumnu sollitrundhainga...inum onum nadakala......chumma poraliya kelapurainga,NOT
TA_HL160,Ade yen pa ellarum ethuku poi like porinke... Ellam suthamana poi.kasa ah panama uthividuom.. Yarum napathinke vidule iruka,NOT
TA_HL161,adeeeiiiii......ellaya meeri poringa da [,NOT
TA_HL162,Adha oru time aativitta adhu aadine erukumam edha yevano pei nu purali kelapitanga avangala police thedinu erukam next ungalaum theda poranga ready ah eru,NOT
